app_name,categoryId,reviewId,sentenceId,at,score,feature,review,sentence,QM-emotion-A,QM-emotion-B,comments,MO-emotion-A,MO-emotion-B,MO-comments,JM-emotion-A,JM-emotion-B,comments.1,emotion-A-agreement,emotion-B-agreement
Samsung Notes,PRODUCTIVITY,48b5094c-6bcf-483f-8b30-dbcc769a942e,2,"Jul 11, 2022",5,f_20,"This is absolutely good like Surface Windows or good Android OneNote!! Long live Oracle and Java, The Interpreter, and like Smart Switch and other Korean genius, these things are made to last. Notes and notebook, all in one.","Notes and notebook, all in one.",Joy,,,Joy,,,Joy,,,Joy,
Loop Habit Tracker,PRODUCTIVITY,7fff4718-b078-45ea-9366-5900195c3fb9,1,"Mar 22, 2022",5,f_488,"Best one, and I've tried almost all in the play store. Simple clean interface, but still customisable to quite a high level. Been using it almost a year now, which says a lot. No ads, no bugs, just super responsive and intuitive. Well done devs 👏🏾","Simple clean interface, but still customisable to quite a high level.",Joy,,,Joy,,,Joy,,,Joy,
miMind - Easy Mind Mapping,PRODUCTIVITY,82eee649-ba6e-4af5-a258-5585163f89a0,2,"Mar 16, 2022",5,f_399,"HIGHLY RECOMMEND: Does exactly what it says it will do. Be wary of reviews claiming that the license is single device only - there is a separate license for the PC, but purchase allows for use on multiple mobile devices. Also, cloud storage service is spotless. While missing a few advanced features, this is one of the most versatile mind map apps out there!","Also, cloud storage service is spotless.",Joy,,,Joy,,,Joy,,,Joy,
Telegram,COMMUNICATION,3ad28d19-6471-446e-ac30-8969a9561925,0,"Aug 26, 2022",5,f_239,It is a very good app for a lot of social networking.,It is a very good app for a lot of social networking.,Joy,,,Joy,,,Joy,,,Joy,
Instagram,SOCIAL,3454cffd-f905-4028-a554-7601b140b9a4,0,"Sep 15, 2022",2,f_239,It's socal networking app,It's socal networking app,Neutral,,,Neutral,,,Neutral,,,Neutral,
Macros - Calorie Counter,HEALTH_AND_FITNESS,bad93f16-52a5-4495-a015-6aa234a50cc9,1,"May 14, 2022",5,f_143,"This app is very easy to use and pretty simple no extra fancy stuff. If youre here your most likely trying to find a better alternative to MyFitnessApp and it is, as far as i can tell there is no overpriced premium and has all the essentials for nutrients and macros. Thumbs up.","If youre here your most likely trying to find a better alternative to MyFitnessApp and it is, as far as i can tell there is no overpriced premium and has all the essentials for nutrients and macros.",Trust,,,Joy,Trust,,Joy,,,Joy,Trust
TickTick:To-do list & Tasks,PRODUCTIVITY,742d9787-673c-4d92-b409-802e14cdc002,3,"Sep 11, 2022",5,f_64,"I've tried don't know how many to-do list and productivity apps, but by far this is the best! The app interface is very minimalistic and easy to use. The features on this app is insane! I was searching for todo list apps with in built pomodoro timer and this has it. Best part it has weekly view(free) & calendar view(only premium users)! And the windows app is also smooth and it has a floating timer. Great work by app developer's! I 100% recommend it!",I was searching for todo list apps with in built pomodoro timer and this has it.,Joy,,,Trust,,,Joy,,,Joy,
ColorNote Notepad Notes,PRODUCTIVITY,8a8e1e43-8f5c-4500-a0cd-86cd277c8d6f,1,"Jul 05, 2022",5,f_76,Simple to use and no ads. One of the improvements that can be done is adding a folder feature to make organising a bunch of notes easier.,One of the improvements that can be done is adding a folder feature to make organising a bunch of notes easier.,Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
Clock,TOOLS,e1ddc140-11b7-4dc2-bbd4-06bd404125d7,1,"Jul 12, 2022",4,f_236,Good. But I want my JellyBean ASOP 4.1 circular clock widget back. I'm particular about my clock faces...,But I want my JellyBean ASOP 4.1 circular clock widget back.,Anticipation,,,Sadness,,,Sadness,Anticipation,,Anticipation,Sadness
To Do Lists & Tasks - When.Do,PRODUCTIVITY,a5926d27-a6f5-4fbb-893e-b56c02c9acb9,0,"Nov 01, 2020",4,f_96,Love it but wish I could coordinate it with my outlook calendar.,Love it but wish I could coordinate it with my outlook calendar.,Joy,Anticipation,,Joy,Anticipation,,Joy,Anticipation,,Anticipation,Joy
MAPS.ME: Offline maps GPS Nav,TRAVEL_AND_LOCAL,7f417695-35c6-461e-bdd3-ea6ce1bcd15e,0,"Jun 29, 2022",1,f_252,It is now impossible to upload your route with bookmarks from Google earth into maps me. The whole reason I used this app for.,It is now impossible to upload your route with bookmarks from Google earth into maps me.,Disgust,,not suite for purpose,Sadness,,,Sadness,,,Sadness,
CloudCal Calendar Agenda Plann,PRODUCTIVITY,b28c9d04-4861-4511-b4c2-09e2e7eba739,0,"Aug 03, 2021",2,f_319,"the constant reminder to enable location permissions is just stupid. every single action i do, it has to remind me of enabling the location permission for a pro feature that i won't be using. just leave me alone, i don't want to enable it.",the constant reminder to enable location permissions is just stupid.,Anger,,,Anger,,,Sadness,,,Anger,
Instagram,SOCIAL,5c20cea4-9fe4-4533-bea4-5aa575df929d,0,"Sep 13, 2022",5,f_130,I can't send or forward posts or reels to individual people it's always the Group chats popping out please fix this,I can't send or forward posts or reels to individual people it's always the Group chats popping out please fix this,Sadness,,,Sadness,,,Sadness,Anticipation,,Sadness,
Telegram,COMMUNICATION,330b7b1e-fda3-4878-a065-4513a1d1397f,0,"Aug 21, 2022",5,f_339,"Best app better than what,s app I can't tell advantages I love telegram !","Best app better than what,s app I can't tell advantages I love telegram !",Trust,,,Trust,,,Trust,,,Trust,
Loop Habit Tracker,PRODUCTIVITY,f0e532a2-f0eb-471b-969e-f9020de4d2c5,0,"Jun 21, 2022",5,f_7,Honestly it's better than Google calendar for the purpose of being simple and getting the job done. Works as a task manager and a habit tracker and shows progress which I love.,Honestly it's better than Google calendar for the purpose of being simple and getting the job done.,Trust,,,Trust,,,Joy,,,Trust,
Telegram,COMMUNICATION,ead61840-e5a2-4149-bbe5-23ec33643ca3,0,"Sep 02, 2022",2,f_156,"Is there any bug in telegram?. When ever we minimze app and if downloading is progress .. downloading get paused, downloading will start when we stop and start it again. If its not allowing multitasking than there is no use of this app.",Is there any bug in telegram?.,Anticipation,,inquiry,Neutral,,,Neutral,,,Neutral,
Kik — Messaging & Chat App,COMMUNICATION,c66c1235-fb9f-4c5f-a324-bfefdecb7fd8,0,"Sep 06, 2022",2,f_220,"It as not been working properly for me because i can't meet new people or enter group everytime I try to it always tells me that I have reach the limit for the day and I haven't even tried it, it's so frustrating...... I did almost everything and its still not working for me at this rate i might just delete it","It as not been working properly for me because i can't meet new people or enter group everytime I try to it always tells me that I have reach the limit for the day and I haven't even tried it, it's so frustrating......",Disgust,,,Sadness,Anger,,Sadness,,,Sadness,
MixNote NotePad Notes,PRODUCTIVITY,487d0f66-b80a-44d3-a68c-6be650798546,2,"Jan 15, 2019",5,f_30,"Super , Awesome app. The only app I found to be best compitive to mi notes app. Keep up guys I loved the app with the image attachment, cloud sync service . I loved it. The best part is we can add images directly below the notes, continue the notes. and the voice recording feature Is awesome. With the backup sync to Google drive . The app is best . problem:-the notes are not completely sync with my account.struck on sync logo. 😣 need assistance","Keep up guys I loved the app with the image attachment, cloud sync service .",Joy,,,Neutral,,Past tense,Joy,,,Joy,
BodyFast Intermittent Fasting,HEALTH_AND_FITNESS,feea4819-d764-429c-88de-762132ae1ec8,0,"Sep 13, 2022",5,f_492,A simple yet highly motivating tool to help improve overall wellness,A simple yet highly motivating tool to help improve overall wellness,Joy,,,Joy,,,Joy,,,Joy,
Material Notes: Colorful notes,PRODUCTIVITY,8f0e2c0f-3778-4d07-8526-2f43b081b702,1,"Aug 04, 2020",5,f_153,"One of the best note-taking apps on Play Store. Minimalistic, aesthetically pleasing and does provide basic customizing functionalities like colour tags, custom fonts and passcode protection. Certainly recommended for users looking for minimalistic notepad apps!","Minimalistic, aesthetically pleasing and does provide basic customizing functionalities like colour tags, custom fonts and passcode protection.",Joy,,,Joy,,,Joy,,,Joy,
Google Keep - Notes and Lists,PRODUCTIVITY,b2b65586-5a7a-4905-a707-0383cbf11173,3,"Sep 17, 2022",1,f_258,"Lacks Bold, Italics, Underline and has absolutely no formatting options for rich text! I not only needed Rich Text formatting in my editor, but the editor forces me to dig into my virtual keyboard just to gain access to Microphone so I can speak sentences! I also needed folders. This App is also a privacy concern and collects way too much personal information! The permissions list is insane. The voice notes are not hands-free! User is shoved inside edit mode even for quick voice notes. Garbage!",This App is also a privacy concern and collects way too much personal information!,Fear,,,Fear,,,Fear,,,Fear,
Clock,TOOLS,6635bdfa-7b4b-4823-be61-7530f363808e,0,"Jul 12, 2022",3,f_236,The world clocks widget doesn't seem to be scaling down correctly when resizing.,The world clocks widget doesn't seem to be scaling down correctly when resizing.,Sadness,,,Sadness,,,Sadness,,,Sadness,
MAPS.ME: Offline maps GPS Nav,TRAVEL_AND_LOCAL,779d9287-01ea-4f3e-94db-71164bec4cbc,2,"Aug 10, 2022",2,f_251,"I'm sad to say this new update made a great, simple app that's been used for year, a lot less user friend, frustrating and overall just wish we could revert back. Why this big step backward? Bookmarking things got harder, navigating became awkward, some new useless features, a download button when everything is already downloaded...why change what worked so well? This is so sad...please make this app great again!","Bookmarking things got harder, navigating became awkward, some new useless features, a download button when everything is already downloaded...why change what worked so well?",Sadness,Disgust,,Sadness,,,Sadness,,,Sadness,
Todoist: to-do list & planner,PRODUCTIVITY,8d3dab5b-11f0-4333-a489-5b45c1e7fbe7,3,"Jun 21, 2022",1,f_110,"New update broke WearOS functionality. On fossil watch, it doesn't sync the start up project/filter and task reminders don't always show up. View is differently formatted too, and it always comes up in inbox. When they do, if they are completed on the phone the watch notification doesn't disappear, which is a real problem for recurring tasks because if you complete it instead of dismissing it from the watch after completing it in phone, the task is moved forward a date.","When they do, if they are completed on the phone the watch notification doesn't disappear, which is a real problem for recurring tasks because if you complete it instead of dismissing it from the watch after completing it in phone, the task is moved forward a date.",Surprise,Disgust,,Sadness,,,Sadness,,,Sadness,
True Phone Dialer & Contacts,COMMUNICATION,5f665afa-da75-43f3-8ba8-ecc019b3067e,1,"Oct 19, 2021",5,f_210,Very Customizable Phone app You have 1 option for pickup call in mini notification which is very useful for gamers.,You have 1 option for pickup call in mini notification which is very useful for gamers.,Joy,,,Joy,,,Joy,,,Joy,
Samsung Health,HEALTH_AND_FITNESS,8a00af76-a6e2-42de-b7f7-a77a14bd2086,0,"Aug 31, 2022",3,f_439,Please add a barcode scanner for tracking food.,Please add a barcode scanner for tracking food.,Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
Telegram,COMMUNICATION,d3023968-a493-4afe-aa5c-f26f400d5e1e,1,"Sep 03, 2022",5,f_76,"There 3 options pops up when I long press on FOLDER NAME, please add one more option to it (Mark as read). It will be convenient 🙂 (1) Re-order, (2)Edit folder, (3)Delete, (4)*Mark as read","It will be convenient 🙂 (1) Re-order, (2)Edit folder, (3)Delete, (4)*Mark as read",Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
True Phone Dialer & Contacts,COMMUNICATION,f51ef14c-22ef-491f-bfb0-d1e2298329dc,3,"May 20, 2022",5,f_210,An underrated dialer. Using this since 2015. It has so many features which are much useful. Customizable at its best. Use it to believe it. Highly recommended.,Customizable at its best.,Joy,,,Joy,,,Joy,,,Joy,
Samsung Notes,PRODUCTIVITY,aa45a66d-fb47-4b4c-98a3-ede593fcbd11,1,"Jul 16, 2022",4,f_140,"Add the option to open more than one note at the same time using tabs instead of separate windows. To ease workflow for many students and make it a lot easier to switch between notes. It will be great if you guys develop your own pdf reader that opens multiple files in tabs, that have native support for the spen and also allow users to make anotations on pdf files directly from their online drive accounts like Google drive, Onedrive etc without have to save a local copy of that file.",To ease workflow for many students and make it a lot easier to switch between notes.,Joy,,,Neutral,,,Joy,,,Joy,
Clock,TOOLS,526c7e4d-293e-4d71-8c83-36efd01ed840,2,"Aug 18, 2022",1,f_241,"This app CONTINOUSLY allows its volume to be reduced below the volume I set, EVEN after disabling that feature in the application's menu. This singular error has caused me to miss multiple alarms for important things like work or meetings. It happens when I'm snoozing alarms using the touchscreen only, it happens if I adjust the volume on my phone for another app, it happens seemingly automatically just because the app decides that it's going to lower the volume itself. Absolutely worthless.","It happens when I'm snoozing alarms using the touchscreen only, it happens if I adjust the volume on my phone for another app, it happens seemingly automatically just because the app decides that it's going to lower the volume itself.",Surprise,Disgust,,Sadness,,,Sadness,Surprise,,Sadness,Surprise
SMS Organizer,COMMUNICATION,8351519d-ce4b-4efd-b247-068f6921c058,0,"Sep 02, 2022",5,f_118,It Should be a default messaging app.,It Should be a default messaging app.,Joy,,,Joy,,,Joy,,,Joy,
Doit.im for Android,PRODUCTIVITY,c7edfd45-8128-4bd2-96ad-04d630c74e75,0,"Nov 15, 2019",3,f_278,"The app itself is very useful, but there are bugs all the time, disappearing tasks, synchronization mistakes, timezone setting problems etc. The last update was almost 3 years ago. Maybe it's time to fix it?!","The app itself is very useful, but there are bugs all the time, disappearing tasks, synchronization mistakes, timezone setting problems etc.",Joy,Sadness,,Joy,Sadness,,Joy,Sadness,,Joy,Sadness
minimalist phone: Productivity,PRODUCTIVITY,ba79d942-0966-4c58-acf9-afb5e5f2031c,0,"Sep 14, 2022",5,f_76,"Needs support for samsung secure folder. It doesnt show up in the app list, even when activated. Edit: After manually refreshing by pulling down the app list it does show up.",Needs support for samsung secure folder.,Anticipation,,,Sadness,,,Sadness,Anticipation,,Anticipation,Sadness
Binaural Beats Therapy,HEALTH_AND_FITNESS,9d8754ca-2875-4b41-b5fc-bf8a557ddb4d,1,"Jan 15, 2021",5,f_147,"Crazy how good this thing is. Only suggestion from me would be a replay button for when I want to listen to a tone while sleeping. Other than that, this is the perfect app for meditation and focus.",Only suggestion from me would be a replay button for when I want to listen to a tone while sleeping.,Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
