app_name,categoryId,reviewId,sentenceId,at,score,feature,review,sentence,emotion-QM,,emotion-MT,,comments-QM,comments-MT,emotion-primary-agreement,comments-agreement,comments-agreement
Couch to 5K by RunDouble,HEALTH_AND_FITNESS,d253e5a3-b114-4ede-a7cd-26ad09c5d28f,1,"Nov 06, 2021",2,Text to Speech,"Text to speech voice no longer using my preferred setting since moving to Android 12 on Pixel 6 Pro. Also dropped gps and did not inform me, so did a whole run without any distance logged. Used to work great on Android 11 Pixel 3XL","Also dropped gps and did not inform me, so did a whole run without any distance logged.",Sadness,,Surprise,,good example of sadness,surprise per que no s'ho esperava pel tó del text. Si no disgust,Sadness,C1,
Loop Habit Tracker,PRODUCTIVITY,a7e8b971-905d-4ac5-9d65-abcdef9bec75,0,"Apr 19, 2022",5,Monetization,"An gpl'd opensource app, that is minimalist, designed beautifully, respects privacy, no ads, no artificial limits, no monetization and ofcourse a greatly useful app to improve oneself. This is simply good public service. Best of luck to the maintainers, long live this app!","An gpl'd opensource app, that is minimalist, designed beautifully, respects privacy, no ads, no artificial limits, no monetization and ofcourse a greatly useful app to improve oneself.",Trust,,Trust,,,,Trust,,
Google Play Console,TOOLS,c603b78b-a5ce-4c0c-8181-2b616187e9c3,0,"Jan 12, 2021",1,Material design,"Update Google play console to material design just like you did with photos, drive etc","Update Google play console to material design just like you did with photos, drive etc",Joy,,Anticipation,,difficult,,Anticipation,Misinterpretation,
Telegram,COMMUNICATION,95f5af3c-eff8-4576-bc0b-cb8b43377df1,0,"Sep 14, 2022",1,Folders,Facing fast gifs speed problem and gif folder limit reach . Anyone please help,Facing fast gifs speed problem and gif folder limit reach .,Fear,,Fear,,can be an example of fear,"he hagut de llegir la review sencera, nota i nom de la app",Fear,,
Steam Chat,COMMUNICATION,2bc4c231-e7df-4ece-ad35-420e20c04434,2,"Aug 21, 2022",1,Messaging,"Unbelievable just how badly executed this simple messaging app is. Surely a hugely profitable company like valve can delivery something better and more reliable than this. It was almost useless to start, clunky interface, late delivery of messages, no notifications etc. and now doesn't even sign in at all. Users deserve better.","It was almost useless to start, clunky interface, late delivery of messages, no notifications etc. and now doesn't even sign in at all.",Disgust,,Anger,,useless',pel vocabulary,Sadness,C1,
ColorNote Notepad Notes,PRODUCTIVITY,9cdb10ab-3279-4d3c-b596-f2e98f24efe6,0,"Aug 08, 2022",5,Diary,"Use it as my Diary, Really handy 😀 👍. Had 2 transfer this app over recently 2 a new phone & my Great friend managed 2 retrieve All my info, I would have been COMPLETELY LOST without it. SO HANDY.","Use it as my Diary, Really handy 😀 👍.",Trust,,Joy,,accept,pels emojis,Trust,C1,
Samsung Notes,PRODUCTIVITY,0457be0f-5feb-4385-98ad-b93b42a90699,1,"Jul 12, 2022",5,Grocery List,"I use notes for everything. I use it for Grocery list, home project list items, and even screen shots of confirmation receipts when I make online payments","I use it for Grocery list, home project list items, and even screen shots of confirmation receipts when I make online payments",Trust,,Trust,,,,Trust,,
Huawei Health,HEALTH_AND_FITNESS,efe6623c-a255-478c-8629-bd8724428533,0,"Mar 22, 2022",3,Macros,Great app but sadly you can't connect my fitness pal and no food/calorie/macro tracker in app 😩 only thing it's missing. As with watch as it's fab.,Great app but sadly you can't connect my fitness pal and no food/calorie/macro tracker in app 😩 only thing it's missing.,Sadness,,Anticipation,,clear example,,Sadness,C4,
Citymapper: All Your Transport,MAPS_AND_NAVIGATION,ba9f44e6-7a31-4c61-af72-fe3e59e3141a,1,"Sep 10, 2022",1,routing,"Used to be incredible but now routing powers, and audio instructions are going behind a subscription I'll be looking for an alternative. Train routing is essential for South London because disruption on an irrelevant part of a rail network hides the unaffected National Rail services from the classic view. Super short sighted and this is coming from an investor!",Train routing is essential for South London because disruption on an irrelevant part of a rail network hides the unaffected National Rail services from the classic view.,Sadness,,Trust,,on the edge,"el mateix sobre frases que parlen de coses que no son directament de la app.
em sortiria anar un nivell més extern de emocions i escollir acceptance.",Neutral,C6,
MAPS.ME: Offline maps GPS Nav,TRAVEL_AND_LOCAL,f8419ee9-3ed8-4d10-b8c2-8d9611514023,0,"Sep 17, 2022",3,offline,Despite city maps are downloaded navigator does not work offline,Despite city maps are downloaded navigator does not work offline,Sadness,,Disgust,,,,Sadness,C2,
Microsoft OneNote: Save Notes,PRODUCTIVITY,e4ac8ec9-3c26-4427-992c-ced64be7f92d,0,"Sep 08, 2022",5,Share notes,"great for sharing notes, lists, etc between devices.","great for sharing notes, lists, etc between devices.",Joy,,Trust,,,,Joy,C1,
Loop Habit Tracker,PRODUCTIVITY,c35c6f9f-d9b9-4497-a990-28bd36b8012e,1,"Nov 30, 2021",5,Monetization,Wonderful app! Does exactly what it needs to in an elegant way and doesnt force monetization or clunky features on you.,Does exactly what it needs to in an elegant way and doesnt force monetization or clunky features on you.,Joy,,Trust,,,,Joy,C1,
Clock,TOOLS,fa49e764-c1b8-4848-8aed-0b69836be7bf,0,"Aug 22, 2022",5,Alarm,"I like the app it even works as an alarm clock with a selection of alarms, alarm volume control, and it even has a snooze button which allows you to set the snooze time as well.","I like the app it even works as an alarm clock with a selection of alarms, alarm volume control, and it even has a snooze button which allows you to set the snooze time as well.",Trust,,Trust,,joy/trust is hard,,Trust,,
Transit: Bus & Subway Times,MAPS_AND_NAVIGATION,0fca26d3-bf6f-4a5c-a8f1-fe9204403a37,4,"Sep 07, 2022",1,Public transportation,SUCKS ! Simply because It's NOT UPDATED in TIMELY fashion. HOLIDAYS ? Connecting Public Transportation? especially; when it's 2 different transport companies/ towns MUCH WORK NEEDED,Connecting Public Transportation?,Anger,,Surprise,,sentence is difficult to annotate without context,he llegit tota la review. Posaria anger tenint en compte tota la review. Pero la frase en si la considero surprise,Surprise,C5,
OnePlus Health,TOOLS,65695da6-17ee-4042-81d0-448d16a3f755,1,"Feb 05, 2022",3,Sleep tracking,"To be honest,oneplus health app is good, but will be very helpful if Oneplus Health App team members will work on the sleep monitoring feature in the band. Overall everything is good to go, but need some accuracy in sleep tracking feature. Hope your new update will be bring colour soon.","Overall everything is good to go, but need some accuracy in sleep tracking feature.",Sadness,,Anticipation,,disappointment,,Sadness,C1,
ColorNote Notepad Notes,PRODUCTIVITY,4a7cda19-b36b-4e8a-b641-28fc1345065e,0,"Jun 11, 2022",4,Workflow,"i would give colornote 5 stars but the last big update was very disruptive to my workflow. sense then ive had to recategorizing and organize my original notes for the new layout and color scheme they added. now that that tedious process is done i once again believe color note is the best on/off line, moble and desktop notepad i can use. there are some much needed features id like to see added but for the most part the app. is great as is. thank you",i would give colornote 5 stars but the last big update was very disruptive to my workflow.,Surprise,,Surprise,,,,Surprise,,
Stickify: Stickers in WhatsApp,TOOLS,a2da977f-626b-40b8-8067-01811b07146c,0,"Aug 02, 2022",3,Animated stickers,Animated stickers never works,Animated stickers never works,Sadness,,Disgust,,,,Sadness,C2,
VeryFitPro,HEALTH_AND_FITNESS,0fecfb07-38ae-486b-badc-890e05b32b92,3,"Sep 14, 2022",5,Calorie Counting,"Tonight it inverted my blood pressure numbers (69/122)! It does that often! Can I fix or delete the entry? Also, I wish they'd add calorie counting!","Also, I wish they'd add calorie counting!",Anticipation,,Anticipation,,,,Anticipation,,
Google Find My Device,TOOLS,153be920-852c-4047-a82b-6e1a5c3b82cd,0,"Aug 27, 2022",5,Text messaging,"I'm trying to figure out what it means when someone phone text messaging an a Goggle account are Linked?An if someone Unlinks them,What happens?",I'm trying to figure out what it means when someone phone text messaging an a Goggle account are Linked?,Anticipation,,Surprise,,a good example of anticipation without feature request,,Anticipation,C5,
Play Services Info (Update),TOOLS,bf1bb5af-1140-419d-ad65-882712e912b6,0,"Oct 26, 2019",5,Team work,Efficient team work tsappreciated,Efficient team work tsappreciated,Joy,,Anticipation,,,,Reject,Reason to reject: impossible to infer meaning from such short sentence,
GPS Navigation & Map Direction,TRAVEL_AND_LOCAL,c8e0eee9-e78a-47bd-a31f-ff1c0c620bb5,0,"Aug 18, 2022",1,GPS Navigation,I want the GPS navigation app to be downloaded.,I want the GPS navigation app to be downloaded.,Sadness,,Disgust,,hard to predict uatomatically,,Sadness,C2,
Weather Neon,WEATHER,ba137d87-975b-4a9a-af4b-60c3b3bfc34a,0,"Aug 02, 2022",3,Clock widget,"My review of this app went from 5 stars down to 3, (which may be too generous), because the widgets will now, quite often, not actually keep the right time, which is kind of important for a clock widget to do! It's like it just gets stuck at some point and I haven't been able to find any reason why. Too bad cuz I really liked all the different widgets there was to choose from.","My review of this app went from 5 stars down to 3, (which may be too generous), because the widgets will now, quite often, not actually keep the right time, which is kind of important for a clock widget to do!",Disgust,,Anger,,clear rejection,"pel ! and el ""too generours""",Anger,C2,
Cozi Family Organizer,PRODUCTIVITY,3362cb9b-f47a-4680-9ccc-650e58d88d23,0,"Aug 08, 2022",4,Family Calendar,Great app for using as a family calendar and a shared shopping list. Plus it's free! I don't really use any of the other features.,Great app for using as a family calendar and a shared shopping list.,Joy,,Trust,,,,Joy,C1,
"BreezoMeter Air Quality,Pollen",WEATHER,175a5b05-b8fb-4790-8fcf-dba47005590c,0,"Jan 31, 2017",2,Push Notifications,Too many push notifications,Too many push notifications,Disgust,,Disgust,,,,Sadness,,
Instagram,SOCIAL,8c6aed73-7979-4db4-b7fc-89f2f60dc01f,0,"Sep 14, 2022",5,Watch videos,Instagram is my app to browse or watch videos and more,Instagram is my app to browse or watch videos and more,Joy,,Trust,,,,Trust,C1,
My Location - Track GPS & Maps,MAPS_AND_NAVIGATION,10701259-36a1-46b6-85a6-77fc2f2989f8,0,"Jan 22, 2022",4,Driving directions,"This is a good alternative to Google Map Time line, just missing one thing, app need to have auto drive direction (start & stop with time) (like Life360), we often forgot to start taking (before beginning of the trip). Hope you consider, good luck 🤞..","This is a good alternative to Google Map Time line, just missing one thing, app need to have auto drive direction (start & stop with time) (like Life360), we often forgot to start taking (before beginning of the trip).",Anticipation,,Anticipation,,,,Anticipation,,
"Squid: Take Notes, Markup PDFs",PRODUCTIVITY,589b130e-748f-4ee0-89a5-42fc3bc0b3a0,0,"Jan 20, 2022",3,Share notes,Would love a companion desktop app to continue editing note or open up shared notebook.,Would love a companion desktop app to continue editing note or open up shared notebook.,Anticipation,,Anticipation,,,,Anticipation,,
OpenWeather,WEATHER,5e10670b-3457-4027-99d7-77a1067afe9a,0,"Sep 05, 2022",4,Clean design,Love the clean design and lack of ads. I would happily pay a small fee for it. The biggest things I wish it had were a way to see the radar and notifications in the event of precipitation in the very near future.,Love the clean design and lack of ads.,Joy,,Trust,,,,Joy,C1,
